"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"AVACPUS","197510","43.516","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197511","35.7","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197512","29.774","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197513","38.54","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197601","27.839","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197602","28.862","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197603","33.903","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197604","37","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197605","35.097","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197606","49.967","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197607","39.226","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197608","47.452","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197609","38.4","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197610","36.613","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197611","34.167","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197612","29.516","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197613","36.508","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197701","25.516","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197702","32.964","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197703","37.484","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197704","36.733","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197705","37.129","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197706","49.7","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197707","52.323","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197708","45.194","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197709","44.333","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197710","34.452","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197711","35.167","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197712","26.968","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197713","38.17","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197801","28.452","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197802","31.714","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197803","40.387","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197804","36.733","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197805","41.806","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197806","43.067","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197807","43.903","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197808","50.774","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197809","44.2","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197810","42.548","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197811","30.7","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197812","30.387","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197813","38.781","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197901","24.387","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197902","27.571","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197903","36.742","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197904","34.633","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197905","39.258","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197906","24.833","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197907","63.258","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197908","51.516","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197909","46.7","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197910","37.097","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197911","41.567","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197912","29.194","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197913","38.162","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198001","27.032","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198002","36.931","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198003","32.29","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198004","31.267","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198005","37.097","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198006","39.367","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198007","38.097","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198008","40.452","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198009","40.433","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198010","39.839","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198011","31.167","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198012","24.194","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198013","34.828","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198101","24.945","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198102","23.845","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198103","34.047","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198104","35.246","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198105","28.019","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198106","38.655","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198107","38.647","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198108","38.117","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198109","23.541","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198110","32.828","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198111","23.538","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198112","24.355","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198113","30.539","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198201","23.289","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198202","19.01","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198203","24.82","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198204","25.735","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198205","25.532","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198206","34.251","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198207","28.6","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198208","35.443","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198209","31.472","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198210","23.799","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198211","13.868","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198212","19.624","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198213","25.497","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198301","5.98","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198302","30.594","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198303","19.904","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198304","26.218","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198305","23.226","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198306","34.545","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198307","30.985","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198308","32.023","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198309","33.085","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198310","30.011","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198311","24.163","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198312","20.669","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198313","25.873","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198401","13.889","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198402","22.329","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198403","14.337","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198404","26.167","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198405","35.407","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198406","31.213","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198407","24.375","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198408","33.96","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198409","22.919","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198410","19.817","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198411","24.1","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198412","16.696","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198413","23.75","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","198501","21.613","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
